times,n,Tpara,Tperp
1592431281.485538,4.0606217,90.35983,76.2009
1592433266.613745,1.0123137,472.1474,591.22003
1592428655.398154,2.1628401,165.53815,215.61713
1592427996.888761,0.6623636,990.87964,946.27
1592431339.236363,5.0304623,98.114265,65.39632
1592425891.00871,1.0907328,589.8759,510.58005
1592427034.47504,1.0221714,358.25522,394.12704
1592428886.401446,1.0499294,484.32773,520.7014
1592428376.3941782,1.1140225,453.9936,369.11978
1592431930.544765,1.6491777,192.0772,188.45021
1592433085.561175,2.0112731,166.8049,161.94942
1592427625.18347,1.3764167,221.45586,198.66953
1592434530.381682,3.6663835,164.3736,94.28131
1592429304.757401,1.2417171,372.55087,359.79718
1592428178.991355,0.8000012,792.1181,726.3811
1592426082.111452,1.2579582,410.9671,332.35623
1592429944.666516,1.1079327,355.21295,358.9979
1592434748.4847748,1.0714533,378.40048,351.0008
1592427577.932786,1.0214987,310.33026,345.69974
1592431621.540373,0.89964306,595.7121,550.3963
1592433714.220104,1.278458,404.08832,388.36856
1592431150.533676,1.2818027,327.38986,343.72446
1592430176.119818,2.926808,147.28087,118.45136
1592434529.7816691,3.6790266,162.3319,91.246895
1592433999.374149,0.96404684,322.338,314.6765
1592431721.891795,1.1101756,334.9754,355.10263
1592432092.247068,0.9398405,314.39096,339.5518
1592429310.007464,1.2116982,359.6491,328.25095
1592432186.5984042,1.1893425,471.71347,435.11697
1592434516.881485,2.6905756,190.48894,100.75909
1592433954.8235111,4.908042,105.905334,72.83661
1592425865.508352,1.2399117,492.88342,420.97925
1592427434.230746,1.3792135,309.109,361.37994
1592433177.512481,3.2098832,78.40525,79.03816
1592428141.790828,0.70515305,1010.392,792.17334
1592430127.219121,1.7682753,200.07362,198.16266
1592432252.899342,5.1448817,116.66277,73.53943
1592427116.37621,0.8654034,499.94006,399.28156
1592433055.260748,1.1133156,515.8227,491.72403
1592433612.818657,1.4925871,185.18533,164.29555
1592434586.7824771,0.93032825,365.42337,360.98227
1592430175.06979,2.971895,146.65372,114.93657
1592429334.7578292,1.8339673,268.34412,237.73523
1592430010.817454,1.2963681,311.81357,299.73495
1592434525.581613,3.5709348,152.6434,97.93837
1592434417.13008,4.0672965,90.05288,102.03666
1592431126.3833332,1.2113175,404.3418,409.32135
1592427681.884269,1.0154636,346.69815,291.47882
1592434641.233257,0.69312775,455.40085,389.9638
1592431085.282751,1.1535343,435.99585,472.65015
1592432624.154627,1.2700084,383.50598,377.31702
1592426355.115349,1.2257649,380.79565,341.2741
1592430013.967498,1.3719717,272.55408,315.89893
1592433038.460507,1.0420244,433.98422,574.4651
1592434762.7349749,1.1795021,427.25272,355.4197
